Timestamp,mavpackettype,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U,Timestamp_converted,FullTime
1738835079.599876,GPS,25998369,0,3,380697600,2352,27,0.49,42.1346665,12.6307251,25.32,0.1080000028014183,0.0,-0.0300000011920928,0.0,1,2025-02-06 09:44:39.599875927,2025-02-06 09:45:05.598244927
1738835079.780597,GPS,26179090,0,3,380697800,2352,27,0.49,42.1346666,12.6307252,25.28,0.0310000013560056,0.0,0.0020000000949949,0.0,1,2025-02-06 09:44:39.780596972,2025-02-06 09:45:05.959686972
1738835080.00008,GPS,26398573,0,3,380698000,2352,27,0.49,42.1346667,12.6307251,25.3,0.06700000166893,0.0,0.0540000014007091,0.0,1,2025-02-06 09:44:40.000080109,2025-02-06 09:45:06.398653109
1738835080.199966,GPS,26598459,0,3,380698200,2352,27,0.49,42.1346668,12.630725,25.29,0.0390000008046627,0.0,0.0240000002086162,0.0,1,2025-02-06 09:44:40.199965954,2025-02-06 09:45:06.798424954
1738835080.400008,GPS,26798501,0,3,380698400,2352,27,0.49,42.1346669,12.630725,25.28,0.1100000068545341,0.0,0.0150000005960464,0.0,1,2025-02-06 09:44:40.400007963,2025-02-06 09:45:07.198508963
1738835080.580512,GPS,26979005,0,3,380698600,2352,27,0.49,42.134667,12.630725,25.28,0.0420000031590461,0.0,-0.055000003427267,0.0,1,2025-02-06 09:44:40.580512047,2025-02-06 09:45:07.559517047
1738835080.780567,GPS,27179060,0,3,380698800,2352,27,0.49,42.1346671,12.630725,25.28,0.0490000024437904,0.0,-0.0180000010877847,0.0,1,2025-02-06 09:44:40.780566931,2025-02-06 09:45:07.959626931
1738835081.000125,GPS,27398618,0,3,380699000,2352,27,0.49,42.1346672,12.630725,25.28,0.0540000014007091,0.0,-0.0440000034868717,0.0,1,2025-02-06 09:44:41.000124931,2025-02-06 09:45:08.398742931
1738835081.200046,GPS,27598539,0,3,380699200,2352,27,0.49,42.1346673,12.6307249,25.32,0.0560000017285347,0.0,-0.0040000001899898,0.0,1,2025-02-06 09:44:41.200046062,2025-02-06 09:45:08.798585062
1738835081.399964,GPS,27798457,0,3,380699400,2352,27,0.49,42.1346674,12.6307249,25.3,0.0120000001043081,0.0,0.0360000021755695,0.0,1,2025-02-06 09:44:41.399964094,2025-02-06 09:45:09.198421094
1738835081.580488,GPS,27978981,0,3,380699600,2352,27,0.49,42.1346674,12.630725,25.28,0.1160000041127204,0.0,0.0170000009238719,0.0,1,2025-02-06 09:44:41.580487967,2025-02-06 09:45:09.559468967
1738835081.8002,GPS,28198693,0,3,380699800,2352,27,0.49,42.1346675,12.630725,25.28,0.0420000031590461,0.0,0.0120000001043081,0.0,1,2025-02-06 09:44:41.800199986,2025-02-06 09:45:09.998892986
1738835082.000062,GPS,28398555,0,3,380700000,2352,28,0.48,42.1346677,12.630725,25.27,0.0430000014603138,0.0,-0.0050000003539025,0.0,1,2025-02-06 09:44:42.000061989,2025-02-06 09:45:10.398616989
1738835082.199959,GPS,28598452,0,3,380700200,2352,27,0.49,42.1346677,12.6307249,25.28,0.0220000017434358,0.0,0.0730000063776969,0.0,1,2025-02-06 09:44:42.199959040,2025-02-06 09:45:10.798411040
1738835082.400039,GPS,28798532,0,3,380700400,2352,27,0.49,42.1346677,12.6307247,25.29,0.0680000036954879,0.0,0.038000002503395,0.0,1,2025-02-06 09:44:42.400038958,2025-02-06 09:45:11.198570958
1738835082.59998,GPS,28998473,0,3,380700600,2352,27,0.49,42.1346677,12.6307245,25.29,0.0710000023245811,0.0,0.0540000014007091,0.0,1,2025-02-06 09:44:42.599980116,2025-02-06 09:45:11.598453116
1738835082.800171,GPS,29198664,0,3,380700800,2352,27,0.49,42.1346676,12.6307244,25.29,0.0150000005960464,0.0,-0.06700000166893,0.0,1,2025-02-06 09:44:42.800170898,2025-02-06 09:45:11.998834898
